"Archive","SHA256","Package","Version","Architecture"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","pcre2","10.47","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libandroid-selinux","14.0.0.11-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libandroid-support","29-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libc++","29","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libgmp","6.3.0-2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libiconv","1.18-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","ca-certificates","1:2025.12.02","all"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","zlib","1.3.1-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","openssl","1:3.6.1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","coreutils","9.9","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libbz2","1.0.8-8","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","bzip2","1.0.8-8","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","diffutils","3.12-2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","gzip","1.14-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","ncurses","6.6.20260124+really6.5.20250830","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","less","692","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","liblzma","5.8.2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libmd","1.1.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","attr","2.5.2-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libacl","2.3.2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libandroid-glob","0.6-3","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","tar","1.35-2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","xz-utils","5.8.2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","zstd","1.5.7-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","dpkg","1.22.6-5","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","findutils","4.10.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libgpg-error","1.58","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libassuan","3.0.2-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libgcrypt","1.11.2-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libnpth","1.6-3","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","gpgv","2.5.17","aarch64"
